case_name,signal,transform,level_lag1_acf,highly_persistent_risk,diagnostic_scope
spain_retail_eurostat_expanded_2008_2025,employment_expectations,diff,0.9137611674,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,hicp,diff,0.9924699111,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,industrial_production,diff,0.9222911596,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,industrial_turnover,diff,0.9655557105,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,industry_confidence,diff,0.9363986720,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,industry_employment_expectations,diff,0.9220652583,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,retail_employment,diff,0.9952095400,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_retail_eurostat_expanded_2008_2025,unemployment_rate,diff,0.9980980978,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,industrial_production,diff,0.9828494462,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,construction_confidence,diff,0.8001944804,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,construction_production,diff,0.8968868889,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,consumer_confidence,diff,0.8932083329,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,domestic_energy_producer_prices,diff,0.9804008756,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,economic_sentiment,diff,0.9144144439,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,employment_expectations,diff,0.7954387902,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,hicp,diff,0.9723719809,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,industrial_turnover,diff,0.9541252208,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,industry_confidence,diff,0.9375852723,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,industry_employment_expectations,diff,0.9167074897,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,order_book_assessment,diff,0.9648427129,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,production_expectations,diff,0.8140068352,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,retail_employment,diff,0.9988849055,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,services_confidence,diff,0.7870822253,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_normal_2008_2021,unemployment_rate,diff,0.9988993576,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,industrial_production,diff,0.9806527077,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,construction_confidence,diff,0.7869824066,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,construction_production,diff,0.8949391040,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,consumer_confidence,diff,0.9780656481,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,domestic_energy_producer_prices,diff,0.9676430983,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,economic_sentiment,diff,0.9802125970,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,employment_expectations,diff,0.9620810236,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,hicp,diff,0.9702492767,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,industrial_turnover,diff,0.9497312949,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,industry_confidence,diff,0.9708132241,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,industry_employment_expectations,diff,0.9375118682,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,order_book_assessment,diff,0.9855639347,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,production_expectations,diff,0.8395430173,false,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,retail_employment,diff,0.9983913268,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,services_confidence,diff,0.9720341117,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
spain_industrial_shock_2008_2021,unemployment_rate,diff,0.9978283623,true,"lag-1 ACF > 0.95 is a highly-persistent risk flag, not a formal stationarity test"
